,0
平安银行(000001),sz000001
万科A(000002),sz000002
国华网安(000004),sz000004
ST星源(000005),sz000005
深振业A(000006),sz000006
*ST全新(000007),sz000007
神州高铁(000008),sz000008
中国宝安(000009),sz000009
美丽生态(000010),sz000010
深物业A(000011),sz000011
南玻A(000012),sz000012
沙河股份(000014),sz000014
深康佳A(000016),sz000016
深中华A(000017),sz000017
神城A退(000018),sz000018
深粮控股(000019),sz000019
深华发A(000020),sz000020
深科技(000021),sz000021
深天地A(000023),sz000023
特力A(000025),sz000025
飞亚达(000026),sz000026
深圳能源(000027),sz000027
国药一致(000028),sz000028
深深房A(000029),sz000029
富奥股份(000030),sz000030
大悦城(000031),sz000031
深桑达A(000032),sz000032
新都退(000033),sz000033
神州数码(000034),sz000034
中国天楹(000035),sz000035
华联控股(000036),sz000036
深南电A(000037),sz000037
深大通(000038),sz000038
中集集团(000039),sz000039
东旭蓝天(000040),sz000040
中洲控股(000042),sz000042
深纺织A(000045),sz000045
泛海控股(000046),sz000046
京基智农(000048),sz000048
德赛电池(000049),sz000049
深天马A(000050),sz000050
方大集团(000055),sz000055
皇庭国际(000056),sz000056
深赛格(000058),sz000058
华锦股份(000059),sz000059
中金岭南(000060),sz000060
农产品(000061),sz000061
深圳华强(000062),sz000062
中兴通讯(000063),sz000063
北方国际(000065),sz000065
中国长城(000066),sz000066
华控赛格(000068),sz000068
华侨城A(000069),sz000069
特发信息(000070),sz000070
海王生物(000078),sz000078
盐田港(000088),sz000088
深圳机场(000089),sz000089
天健集团(000090),sz000090
广聚能源(000096),sz000096
中信海直(000099),sz000099
TCL科技(000100),sz000100
宜华健康(000150),sz000150
中成股份(000151),sz000151
丰原药业(000153),sz000153
川能动力(000155),sz000155
华数传媒(000156),sz000156
中联重科(000157),sz000157
常山北明(000158),sz000158
国际实业(000159),sz000159
申万宏源(000166),sz000166
东方盛虹(000301),sz000301
美的集团(000333),sz000333
潍柴动力(000338),sz000338
许继电气(000400),sz000400
冀东水泥(000401),sz000401
金融街(000402),sz000402
派林生物(000403),sz000403
长虹华意(000404),sz000404
胜利股份(000407),sz000407
藏格控股(000408),sz000408
云鼎科技(000409),sz000409
ST沈机(000410),sz000410
英特集团(000411),sz000411
东旭光电(000413),sz000413
渤海租赁(000415),sz000415
民生控股(000416),sz000416
合肥百货(000417),sz000417
小天鹅A(000418),sz000418
通程控股(000419),sz000419
吉林化纤(000420),sz000420
南京公用(000421),sz000421
湖北宜化(000422),sz000422
东阿阿胶(000423),sz000423
徐工机械(000425),sz000425
兴业矿业(000426),sz000426
华天酒店(000428),sz000428
粤高速A(000429),sz000429
张家界(000430),sz000430
晨鸣纸业(000488),sz000488
山东路桥(000498),sz000498
鄂武商A(000501),sz000501
*ST绿景(000502),sz000502
国新健康(000503),sz000503
南华生物(000504),sz000504
京粮控股(000505),sz000505
中润资源(000506),sz000506
珠海港(000507),sz000507
*ST华塑(000509),sz000509
新金路(000510),sz000510
烯碳退(000511),sz000511
丽珠集团(000513),sz000513
渝开发(000514),sz000514
国际医学(000516),sz000516
荣安地产(000517),sz000517
四环生物(000518),sz000518
中兵红箭(000519),sz000519
长航凤凰(000520),sz000520
长虹美菱(000521),sz000521
*ST浪奇(000523),sz000523
岭南控股(000524),sz000524
ST红太阳(000525),sz000525
学大教育(000526),sz000526
柳工(000528),sz000528
广弘控股(000529),sz000529
冰山冷热(000530),sz000530
穗恒运A(000531),sz000531
华金资本(000532),sz000532
顺钠股份(000533),sz000533
万泽股份(000534),sz000534
华映科技(000536),sz000536
广宇发展(000537),sz000537
云南白药(000538),sz000538
粤电力A(000539),sz000539
中天金融(000540),sz000540
佛山照明(000541),sz000541
皖能电力(000543),sz000543
中原环保(000544),sz000544
金浦钛业(000545),sz000545
金圆股份(000546),sz000546
航天发展(000547),sz000547
湖南投资(000548),sz000548
江铃汽车(000550),sz000550
创元科技(000551),sz000551
靖远煤电(000552),sz000552
安道麦A(000553),sz000553
泰山石油(000554),sz000554
神州信息(000555),sz000555
西部创业(000557),sz000557
莱茵体育(000558),sz000558
万向钱潮(000559),sz000559
我爱我家(000560),sz000560
烽火电子(000561),sz000561
陕国投A(000563),sz000563
*ST大集(000564),sz000564
渝三峡A(000565),sz000565
海南海药(000566),sz000566
海德股份(000567),sz000567
泸州老窖(000568),sz000568
苏常柴A(000570),sz000570
ST大洲(000571),sz000571
海马汽车(000572),sz000572
粤宏远A(000573),sz000573
甘化科工(000576),sz000576
威孚高科(000581),sz000581
北部湾港(000582),sz000582
哈工智能(000584),sz000584
*ST东电(000585),sz000585
汇源通信(000586),sz000586
*ST金洲(000587),sz000587
贵州轮胎(000589),sz000589
启迪药业(000590),sz000590
太阳能(000591),sz000591
平潭发展(000592),sz000592
大通燃气(000593),sz000593
宝塔实业(000595),sz000595
古井贡酒(000596),sz000596
东北制药(000597),sz000597
兴蓉环境(000598),sz000598
青岛双星(000599),sz000599
建投能源(000600),sz000600
韶能股份(000601),sz000601
盛达资源(000603),sz000603
渤海股份(000605),sz000605
ST顺利(000606),sz000606
华媒控股(000607),sz000607
阳光股份(000608),sz000608
*ST中迪(000609),sz000609
西安旅游(000610),sz000610
*ST天首(000611),sz000611
焦作万方(000612),sz000612
*ST东海A(000613),sz000613
奥园美谷(000615),sz000615
ST海投(000616),sz000616
中油资本(000617),sz000617
海螺型材(000619),sz000619
新华联(000620),sz000620
恒立实业(000622),sz000622
吉林敖东(000623),sz000623
长安汽车(000625),sz000625
远大控股(000626),sz000626
天茂集团(000627),sz000627
高新发展(000628),sz000628
攀钢钒钛(000629),sz000629
铜陵有色(000630),sz000630
顺发恒业(000631),sz000631
三木集团(000632),sz000632
合金投资(000633),sz000633
英力特(000635),sz000635
风华高科(000636),sz000636
茂化实华(000637),sz000637
*ST万方(000638),sz000638
西王食品(000639),sz000639
仁和药业(000650),sz000650
格力电器(000651),sz000651
泰达股份(000652),sz000652
金岭矿业(000655),sz000655
金科股份(000656),sz000656
中钨高新(000657),sz000657
珠海中富(000659),sz000659
长春高新(000661),sz000661
天夏退(000662),sz000662
*ST永林(000663),sz000663
湖北广电(000665),sz000665
经纬纺机(000666),sz000666
美好置业(000667),sz000667
荣丰控股(000668),sz000668
ST金鸿(000669),sz000669
*ST盈方(000670),sz000670
阳光城(000671),sz000671
上峰水泥(000672),sz000672
*ST当代(000673),sz000673
智度股份(000676),sz000676
恒天海龙(000677),sz000677
襄阳轴承(000678),sz000678
大连友谊(000679),sz000679
山推股份(000680),sz000680
视觉中国(000681),sz000681
东方电子(000682),sz000682
远兴能源(000683),sz000683
中山公用(000685),sz000685
东北证券(000686),sz000686
*ST华讯(000687),sz000687
国城矿业(000688),sz000688
宝新能源(000690),sz000690
亚太实业(000691),sz000691
惠天热电(000692),sz000692
